Complexity metrics,ÖÜÈý, 23 3ÔÂ 2022 17:56:51 CST
Method,CogC,ev(G),iv(G),v(G)
Lexer.Lexer(String),0,1,1,1
Lexer.getBracketRight(),6,1,5,5
Lexer.getCos(),0,1,1,1
Lexer.getDiyFunction(),0,1,1,1
Lexer.getNumber(),2,1,3,3
Lexer.getPow(),6,1,5,5
Lexer.getSin(),0,1,1,1
Lexer.getSum(),0,1,1,1
Lexer.next(),11,2,11,12
Lexer.peek(),0,1,1,1
MainClass.main(String[]),1,1,2,2
MainClass.parse(String),0,1,1,1
Parser.Parser(Lexer),0,1,1,1
Parser.getConst(),1,1,2,2
Parser.getCos(),0,1,1,1
Parser.getDiyFunction(),1,1,2,2
Parser.getExpr(),0,1,1,1
Parser.getExpr(String),0,1,1,1
Parser.getFactor(),0,1,1,1
Parser.getPow(),0,1,1,1
Parser.getSin(),0,1,1,1
Parser.getSum(),0,1,1,1
Parser.getSumFactor(),6,1,4,5
Parser.getTerm(String),0,1,1,1
Parser.getTermSign(),0,1,1,1
Parser.parseExpr(),4,1,5,5
Parser.parseFactor(),8,8,9,9
Parser.parseTerm(),3,1,4,4
expr.Const.Const(BigInteger),0,1,1,1
expr.Const.equals(Object),3,3,2,4
expr.Const.getBase(),0,1,1,1
expr.Const.getNum(),0,1,1,1
expr.Const.hashCode(),0,1,1,1
expr.Const.toString(),0,1,1,1
"expr.Cos.Cos(Factor, String)",3,1,3,4
expr.Cos.equals(Object),4,3,3,5
expr.Cos.expand(),13,1,5,5
expr.Cos.getBase(),0,1,1,1
expr.Cos.getFactor(),0,1,1,1
expr.Cos.hashCode(),0,1,1,1
expr.Cos.toString(),4,3,3,4
expr.DiyFunction.addDiyFunction(String),6,1,5,5
"expr.DiyFunction.substituteInto(String, ArrayList<Factor>)",4,1,3,4
expr.Expr.Expr(),0,1,1,1
"expr.Expr.Expr(ArrayList<Term>, BigInteger)",0,1,1,1
"expr.Expr.Expr(Expr, String)",0,1,1,1
expr.Expr.addTerm(Term),0,1,1,1
expr.Expr.equals(Object),4,3,3,5
expr.Expr.expand(),1,1,2,2
expr.Expr.expandIndex(),1,1,2,2
expr.Expr.getBase(),0,1,1,1
expr.Expr.getFirst(),3,3,3,3
expr.Expr.getIndex(),0,1,1,1
expr.Expr.getTermArrayList(),0,1,1,1
expr.Expr.hashCode(),0,1,1,1
expr.Expr.mulExpr(Expr),3,1,3,3
expr.Expr.setIndex(String),1,1,2,2
expr.Expr.simplify(),4,1,3,3
expr.Expr.toString(),8,4,5,8
expr.Function.calculate(BigInteger),0,1,1,1
expr.Function.getBase(),0,1,1,1
expr.Function.getIndex(),0,1,1,1
expr.Function.setIndex(String),1,1,2,2
expr.Pow.Pow(String),0,1,1,1
expr.Pow.equals(Object),4,3,3,5
expr.Pow.getBase(),0,1,1,1
expr.Pow.hashCode(),0,1,1,1
expr.Pow.toString(),3,4,3,4
"expr.Sin.Sin(Factor, String)",4,1,4,5
expr.Sin.equals(Object),4,3,3,5
expr.Sin.expand(),18,1,6,6
expr.Sin.getBase(),0,1,1,1
expr.Sin.getFactor(),0,1,1,1
expr.Sin.hashCode(),0,1,1,1
expr.Sin.toString(),4,3,3,4
"expr.Sum.Sum(BigInteger, BigInteger, String)",0,1,1,1
expr.Sum.expand(),2,2,2,3
expr.Term.Term(),0,1,1,1
"expr.Term.Term(BigInteger, HashSet<Factor>)",0,1,1,1
expr.Term.addFactor(Factor),0,1,1,1
expr.Term.delConst(),4,1,3,3
expr.Term.equals(Object),4,3,3,5
expr.Term.expand(),14,1,11,13
expr.Term.getCoefficient(),0,1,1,1
expr.Term.getFactorArrayList(),0,1,1,1
expr.Term.hashCode(),0,1,1,1
expr.Term.mulTerm(Term),7,1,6,6
expr.Term.setCoefficient(BigInteger),0,1,1,1
expr.Term.setFactorArrayList(ArrayList<Factor>),0,1,1,1
expr.Term.simplify(),5,1,4,4
expr.Term.toString(),5,2,5,5

Class,OCavg,OCmax,WMC
Lexer,2.40,10,24
MainClass,1.50,2,3
Parser,2.06,8,33
expr.Const,1.33,3,8
expr.Cos,2.57,5,18
expr.DiyFunction,4.50,5,9
expr.Expr,2.12,8,34
expr.Function,1.25,2,5
expr.Pow,2.00,4,10
expr.Sin,2.71,6,19
expr.Sum,2.00,3,4
expr.Term,2.64,9,37

Package,v(G)avg,v(G)tot
,2.54,71
expr,2.59,163

Module,v(G)avg,v(G)tot
homework2,2.57,234

Project,v(G)avg,v(G)tot
project,2.57,234

